Table 2-12:  U.S. Greenhouse Gas Emissions by Economic Sector and Gas with Electricity-Related Emissions Distributed (MMT CO2 Eq.) and Percent of Total in 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sector/Gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Percenta
,SF6,8.3,7.8,8,7.6,7.2,6.5,5.9,5.3,4.4,4.5,4.1,3.7,3.3,3,2.7,2.4,2,1.7,1.7,1.5,1.5,1.6,1.3,1.2,1.2,1.1,1.2,1.2,+%
,Transportation,1530.2,1484,1543.6,1580.6,1635.4,1670.5,1726.6,1753.2,1795.6,1866.7,1904.8,1885.5,1926.7,1918.6,1962.8,1980.8,1974.6,1974.5,1876.8,1800.4,1808,1780.2,1760.4,1769.8,1804.5,1813.7,1854.1,1870.6,29.00%
,Direct Emissions,1527.1,1480.9,1540.5,1577.5,1632.2,1667.3,1723.5,1750,1792.4,1863.4,1901.2,1881.8,1923.2,1914.2,1958.2,1976,1970,1969.3,1872,1795.9,1803.4,1775.8,1756.3,1765.4,1799.9,1809.3,1849.7,1866.2,28.90%
,CO2,1480.9,1433.1,1488.6,1519.7,1565.2,1591.8,1638.1,1654.9,1690.7,1758.3,1791.5,1769.5,1810.8,1802.6,1847.4,1867.2,1862.7,1865.1,1769.7,1696,1707.8,1687.2,1675.7,1692.3,1731.6,1744.9,1789.4,1810.1,28.00%
,CH4,5.9,5.8,5.8,5.7,5.6,5.5,5.3,5.2,5,4.4,4.2,3.9,3.6,3.4,3.2,3,2.9,2.7,2.5,2.4,2.3,2.2,2,1.8,1.7,1.6,1.5,1.4,+%
,N2O,40.2,42.1,45,47,48.9,50.4,51.7,52.6,52.9,50.5,49.4,46.4,44.3,42,39.4,36.5,34.1,30.3,27.9,26.3,25.3,24,21.6,19.7,17.8,16.5,15.5,14.5,0.20%
,HFCsb,+ ,+ ,1.2,5.1,12.4,19.6,28.4,37.4,43.8,50.2,56.2,62,64.5,66.2,68.2,69.3,70.3,71.2,71.9,71.1,68.1,62.4,57.1,51.6,48.8,46.3,43.3,40.1,0.60%
,Electricity-Related,3.1,3.1,3.1,3.1,3.2,3.2,3.1,3.2,3.2,3.3,3.5,3.7,3.5,4.4,4.6,4.8,4.6,5.2,4.8,4.6,4.6,4.4,4.1,4.4,4.6,4.4,4.3,4.4,0.10%
,CO2,3.1,3,3,3.1,3.2,3.1,3.1,3.1,3.2,3.2,3.5,3.7,3.5,4.3,4.6,4.8,4.6,5.1,4.7,4.5,4.5,4.4,4,4.3,4.5,4.3,4.2,4.4,0.10%
,CH4,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+%
,N2O,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,+%
,SF6,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+%
,Commercial,981.1,988.6,982.9,1003.1,1016.1,1030,1059.3,1092.5,1101.9,1107.2,1168.3,1171.8,1170.7,1186.5,1203.1,1222.4,1204,1248,1241.6,1181.4,1203.5,1162.9,1103.6,1131.5,1143.1,1112.3,1066.6,1038.4,16.10%
,Direct Emissions,426.9,434,429.4,424.6,427.2,426.4,433.8,426.2,400.2,396.3,410.2,398.8,399.3,415,411.8,400.7,386.9,400.9,408,410.8,412.1,407,386.5,409.6,419.5,432.2,416.1,416,6.40%
,CO2,226.5,231,226.2,222.9,224.7,227.8,237.6,237.8,220.2,220.8,236.3,228.2,228.8,239.8,237.4,226.8,211.8,223.5,227.9,228.4,224.9,224.9,200.6,224.6,232.9,245.5,232.1,232.9,3.60%
,CH4,196.3,198.8,198.8,196.8,196.9,192.1,188.6,179.3,169.6,163.1,160,155.1,153.2,155.8,153.2,149.7,147.6,145.6,143.6,141.1,141.9,133,134,130.3,130,129,125.5,125.3,1.90%
,N2O,4.1,4.2,4.4,4.5,4.8,4.9,5.1,5.2,5.3,5.6,5.8,5.8,5.9,6.2,6.4,6.4,6.5,6.6,6.6,6.5,6.5,6.5,6.6,6.8,7,7,7.1,7.2,0.10%
,HFCs,+ ,+ ,+ ,0.3,0.8,1.6,2.6,3.9,5.2,6.8,8.1,9.7,11.4,13.2,14.8,17.8,21.1,25.2,30,34.8,38.9,42.6,45.4,47.8,49.6,50.7,51.3,50.6,0.80%
,Electricity-Related,554.2,554.6,553.5,578.6,588.9,603.6,625.6,666.3,701.7,710.9,758.1,773,771.4,771.5,791.3,821.7,817,847.1,833.6,770.7,791.3,755.9,717.1,721.9,723.6,680.1,650.5,622.4,9.60%
,CO2,541,541.7,540.7,565.7,576.2,591.1,613.3,654,689.7,698.7,745.5,760.2,758.6,758.8,778.4,808.4,804,834.1,820.7,758.4,778.6,743.6,705.8,710,711.5,668.9,639.3,611.8,9.50%
,CH4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,+%
,N2O,6.2,6.2,6.2,6.5,6.6,6.8,7,7.4,7.7,7.7,8.3,8.6,8.9,9.2,9.6,10.2,10.3,10.5,10.5,9.9,10.4,10,9.3,10,10.1,9.4,9.3,8.8,0.10%
,SF6,6.8,6.6,6.5,6.3,6,5.6,5.1,4.8,4.2,4.3,4.1,4,3.6,3.2,3,2.8,2.4,2.1,2.1,2,2,2,1.6,1.5,1.6,1.4,1.5,1.5,+%
,Residential,955.6,973.9,970.3,1022.7,1013.6,1027.7,1089.8,1078.7,1081.7,1103.1,1166.3,1156.9,1184.3,1213.7,1211.1,1246,1183.5,1238,1225.2,1159.1,1215,1158,1048.3,1109.2,1129.3,1051.1,997.8,964.5,14.90%
,Direct Emissions,344.7,354.3,360.8,372.2,363.1,367.4,398.8,380.4,346,365.7,386.5,376.7,374.1,392.6,380.2,370,333.9,355.5,363.8,354.3,355,348.3,305.6,356.3,376.6,349.7,326.9,330.9,5.10%
,CO2,338.2,347.2,353.5,365.6,356.9,352.9,383.1,364.7,331.4,350.6,370.9,362.2,360.3,379.3,367.5,357.9,321.3,341.4,347.7,336.5,334.9,326.3,282.4,329.3,346.8,317.8,292.9,294.5,4.60%
,CH4,5.2,5.4,5.7,5,4.8,4.7,5,4.1,3.6,3.8,4,3.7,3.7,3.9,4,4.1,3.6,3.9,4.2,4.5,4.7,4.6,3.8,4.9,5,4.5,3.9,3.8,0.10%
,N2O,1,1.1,1.1,1,1,1,1,0.9,0.8,0.8,0.9,0.8,0.8,0.9,0.9,0.9,0.8,0.8,0.9,0.9,0.9,0.9,0.8,1,1,0.9,0.8,0.8,+%
,HFCs,0.3,0.5,0.5,0.5,0.5,8.8,9.7,10.6,10.2,10.5,10.8,10,9.2,8.5,7.8,7.2,8.2,9.3,10.9,12.4,14.5,16.5,18.6,21.1,23.8,26.5,29.3,31.9,0.50%
,Electricity-Related,610.8,619.6,609.4,650.5,650.4,660.2,690.9,698.3,735.6,737.4,779.8,780.2,810.2,821.1,830.9,875.9,849.6,882.5,861.4,804.8,860,809.8,742.6,752.9,752.7,701.4,670.9,633.6,9.80%
,CO2,596.4,605.2,595.4,636,636.4,646.5,677.4,685.3,723.1,724.7,766.8,767.3,796.8,807.6,817.3,861.8,836.1,869,848.1,792,846.2,796.6,730.9,740.5,740.2,689.8,659.3,622.7,9.60%
,CH4,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,+%
,N2O,6.8,6.9,6.8,7.3,7.3,7.4,7.7,7.7,8,8,8.5,8.6,9.3,9.8,10.1,10.9,10.7,11,10.8,10.3,11.3,10.7,9.6,10.4,10.5,9.7,9.6,8.9,0.10%
,SF6,7.5,7.3,7.1,7.1,6.6,6.1,5.7,5.1,4.4,4.5,4.2,4.1,3.8,3.5,3.2,3,2.5,2.2,2.2,2.1,2.1,2.1,1.7,1.6,1.7,1.5,1.6,1.5,+%
,Agriculture,569.9,568.4,574.1,588.5,582,595.5,599.6,596.5,617.7,596.2,592.3,598.7,604.8,604.2,629.5,608.3,621.3,642.7,624.6,626.3,634.3,620.6,606.5,614.9,613.5,626.5,620.8,620.9,9.60%
,Direct Emissions,534.9,534.6,538.7,551.5,544,556.7,559.1,554,575.5,553.2,550.4,558.2,560.4,564.6,587,570,582.8,597.2,583.6,586.1,593.7,579.2,563.2,572.6,569.2,585.2,581.7,582.2,9.00%
,CO2,50.5,50.1,49.7,49.3,50,50.1,49.7,50.1,49.9,47.6,46.9,48.7,50.4,51.6,55.9,58.2,61.8,59.7,56.1,53.3,54.7,54.3,57.8,53.7,53.6,49.2,47.8,47.6,0.70%
,CH4,218.1,220.8,224.2,228.5,232.3,238.5,236.7,235,237.2,239.6,238.3,236.6,238.9,237.6,232.6,240.1,239.3,247.8,243.4,244.3,246,242.5,239.3,235.5,235.2,240,247.4,248.8,3.90%
,N2O,266.3,263.7,264.8,273.7,261.6,268.1,272.6,268.9,288.4,266,265.1,272.9,271.1,275.4,298.5,271.7,281.7,289.8,284,288.5,293,282.4,266.1,283.3,280.4,296,286.4,285.8,4.40%
,Electricity-Related,35.1,33.8,35.4,37,38,38.8,40.6,42.5,42.2,42.9,41.9,40.5,44.4,39.6,42.5,38.3,38.4,45.5,41.1,40.2,40.6,41.3,43.3,42.3,44.3,41.2,39.1,38.7,0.60%
,CO2,34.2,33,34.6,36.2,37.2,38,39.8,41.8,41.5,42.2,41.2,39.8,43.7,39,41.8,37.7,37.8,44.8,40.4,39.5,39.9,40.7,42.6,41.6,43.6,40.6,38.4,38.1,0.60%
,CH4,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+%
,N2O,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.5,+%
,SF6,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,+%
,U.S. Territories,33.3,39.1,37.3,39.1,41.5,40.4,40.2,41.8,42.2,50,45.7,53.1,51.9,57.9,59.6,58.1,58.9,52,49.5,47.2,46.6,46,48.5,48.1,46.6,46.6,46.6,46.6,0.70%
,Total Emissions,6371,6315.6,6424.9,6532.1,6624.8,6710.1,6907.7,6968.5,7032.5,7071.5,7232,7116.8,7156.7,7199.3,7333.1,7339,7270.3,7370,7160.6,6709.4,6938.6,6787.4,6546,6710.2,6760,6623.8,6492.3,6456.7,100.00%
,LULUCF Sector Net Totalc,-807,-817.1,-793.5,-773.9,-802.3,-753.1,-786.9,-767.5,-765.7,-757.9,-767.4,-722.1,-722.1,-629.1,-668,-740,-738.5,-699.7,-654.2,-685.3,-669.4,-731.6,-726.1,-713.5,-670,-711.1,-722.6,-714.1,-11.10%
,Net Emissions (Sources and Sinks),5564,5498.5,5631.4,5758.2,5822.6,5957,6120.8,6200.9,6266.9,6313.6,6464.6,6394.7,6434.6,6570.1,6665,6599,6531.8,6670.2,6506.4,6024.1,6269.2,6055.8,5819.9,5996.8,6090,5912.7,5769.7,5742.6,88.90%
,Notes: Total emissions presented without LULUCF. Net emissions presented with LULUCF. Emissions from electric power are allocated based on aggregate electricity use in each end-use sector. Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,+ Does not exceed 0.05 MMT CO2 Eq. or 0.05 percent.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,a Percent of total (gross) emissions excluding emissions from LULUCF for year 2017.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,b Includes primarily HFC-134a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,c The LULUCF Sector Net Total is the net sum of all CH4 and N2O emissions to the atmosphere plus net carbon stock changes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
