Table 6-27:  Net C Flux from Forest C Pools in Land Converted to Forest Land by Land Use Change Category (MMT C),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Land Use/Carbon Pool,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Litter,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1
Mineral Soil,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Other Land Converted to Forest Land,-4.9,-4.9,-4.9,-4.9,-4.9,-4.9,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
Aboveground Biomass,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5
Belowground Biomass,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
Dead Wood,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6
Litter,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4
Mineral Soil,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+,+,+,+,+
Settlements Converted to Forest Land,-11.2,-11.2,-11.2,-11.2,-11.2,-11.2,-11.2,-11.2,-11.3,-11.3,-11.3,-11.3,-11.3,-11.3,-11.3,-11.3,-11.3,-11.3,-11.3,-11.3,-11.3,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4,-11.4
Aboveground Biomass,-6.7,-6.7,-6.7,-6.7,-6.7,-6.8,-6.8,-6.8,-6.8,-6.8,-6.8,-6.8,-6.8,-6.8,-6.8,-6.8,-6.8,-6.8,-6.8,-6.8,-6.8,-6.8,-6.8,-6.8,-6.8,-6.8,-6.8,-6.8
Belowground Biomass,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3
Dead Wood,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3
Litter,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8
Mineral Soil,(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),-0.1,-0.1,(+),(+),(+),(+)
Wetlands Converted to Forest Land,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4
Aboveground Biomass,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
Belowground Biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dead Wood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Litter,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Mineral Soil,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+,+,+,+,+,+,+,+,+,+,+,+
Total Aboveground Biomass Flux,-18.2,-18.2,-18.2,-18.3,-18.3,-18.3,-18.3,-18.3,-18.3,-18.3,-18.3,-18.4,-18.4,-18.4,-18.4,-18.4,-18.4,-18.4,-18.4,-18.5,-18.5,-18.5,-18.5,-18.5,-18.5,-18.5,-18.5,-18.5
Total Belowground Biomass Flux,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.6,-3.6,-3.6,-3.6,-3.6,-3.6,-3.6,-3.6,-3.6,-3.6,-3.6,-3.6
Total Dead Wood Flux,-3.8,-3.8,-3.8,-3.9,-3.9,-3.9,-3.9,-3.9,-3.9,-3.9,-3.9,-3.9,-3.9,-3.9,-3.9,-3.9,-3.9,-3.9,-3.9,-3.9,-3.9,-3.9,-3.9,-3.9,-3.9,-3.9,-3.9,-3.9
Total Litter Flux,-6.8,-6.8,-6.8,-6.8,-6.8,-6.9,-6.9,-6.9,-6.9,-6.9,-6.9,-6.9,-6.9,-6.9,-6.9,-6.9,-6.9,-6.9,-6.9,-6.9,-6.9,-6.9,-6.9,-6.9,-6.9,-6.9,-6.9,-6.9
Total Mineral Soil Flux,-0.1,-0.1,(+),(+),(+),(+),(+),(+),(+),(+),(+),(+),+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,0.1,+,+,+
Total Flux,-32.5,-32.5,-32.5,-32.5,-32.5,-32.6,-32.6,-32.6,-32.6,-32.6,-32.6,-32.7,-32.7,-32.7,-32.7,-32.7,-32.7,-32.8,-32.8,-32.8,-32.8,-32.8,-32.8,-32.9,-32.9,-32.9,-32.9,-32.9
+ Absolute value does not exceed 0.05 MMT C.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes: Totals may not sum due to independent rounding. Parentheses indicate net uptake. These estimates only include land conversions in the CONUS–land conversions in Alaska and Hawaii were not included in this Inventory.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
