"Country or Territory","Station Name","WMO Station Number","National Station Id Number","Period","Element-Statistic Qualifier Code","Statistic Description","Unit","Jan","Jan Footnotes","Feb","Feb Footnotes","Mar","Mar Footnotes","Apr","Apr Footnotes","May","May Footnotes","Jun","Jun Footnotes","Jul","Jul Footnotes","Aug","Aug Footnotes","Sep","Sep Footnotes","Oct","Oct Footnotes","Nov","Nov Footnotes","Dec","Dec Footnotes","Annual","Annual Footnotes","Annual NCDC Computed Value","Annual NCDC Computed Value Footnotes"
"ALGERIA","CONSTANTINE (Ain El Bey)","60419","","1961-1990","","Mean Value","hPa","1020.6","","1018.2","","1017.3","","1014.4","","1014.7","","1014.9","","1014.9","","1014.5","","1016.7","","1017.6","","1018.7","","1019.6","","1016.9","","1016.8",""
"ALGERIA","CHLEF","60425","","1961-1990","","Mean Value","hPa","1021.4","","1019.3","","1018.1","","1014.8","","1014.7","","1014.9","","1014.6","","1014.3","","1016.5","","1017.6","","1018.0","","1020.6","","1017.1","","1017.1",""
"ALGERIA","MILIANA","60430","","1966-1990","","Mean Value","hPa","1022.2","","1019.1","","1018.2","","1014.8","","1014.7","","1014.9","","1014.1","","1014.1","","1016.8","","1018.0","","1019.7","","1021.5","","1017.3","","1017.3",""
"ALGERIA","ORAN ( es senia )","60490","","1961-1990","","Mean Value","hPa","1021.1","","1018.9","","1017.8","","1014.9","","1015.2","","1015.5","","1015.3","","1014.7","","1016.5","","1017.4","","1018.3","","1020.1","","1017.1","","1017.1",""
"ALGERIA","BISKRA","60525","","1965-1990","","Mean Value","hPa","1020.7","","1017.9","","1016.1","","1012.9","","1012.7","","1012.7","","1013.4","","1013.1","","1015.4","","1017.0","","1018.9","","1020.1","","1015.9","","1015.9",""
"ALGERIA","EL OUED ( guemmar )","60559","","1965-1990","","Mean Value","hPa","1020.7","","1017.8","","1016.0","","1012.6","","1012.3","","1012.3","","1013.1","","1012.9","","1015.0","","1016.8","","1018.6","","1020.0","","1015.7","","1015.7",""
"ALGERIA","GHARDAIA","60566","","1964-1990","","Mean Value","hPa","1021.3","","1018.4","","1016.3","","1012.1","","1011.6","","1011.1","","1011.8","","1011.8","","1014.4","","1016.4","","1019.2","","1020.9","","1015.4","","1015.4",""
"ALGERIA","HASSI MESSAOUD","60581","","1962-1990","","Mean Value","hPa","1021.2","","1018.4","","1016.3","","1012.3","","1012.0","","1011.4","","1012.4","","1012.1","","1014.6","","1016.5","","1019.1","","1020.5","","1015.6","","1015.6",""
"ALGERIA","EL GOLEA","60590","","1961-1990","","Mean Value","hPa","1022.2","","1019.4","","1016.7","","1012.3","","1011.5","","1010.6","","1011.5","","1011.5","","1014.1","","1016.4","","1019.2","","1021.3","","1015.5","","1015.6",""
"ALGERIA","BENI ABBES","60602","","1967-1990","","Mean Value","hPa","1022.0","","1017.9","","1014.7","","1010.6","","1009.4","","1008.8","","1009.5","","1009.5","","1012.4","","1015.2","","1018.1","","1021.2","","1014.1","","1014.1",""
"ALGERIA","TIMIMOUN","60607","","1965-1990","","Mean Value","hPa","1021.0","","1017.7","","1014.9","","1010.7","","1009.4","","1008.6","","1009.1","","1009.2","","1011.9","","1014.3","","1017.8","","1020.2","","1013.7","","1013.7",""
"ALGERIA","IN AMENAS","60611","","1961-1990","","Mean Value","hPa","1020.9","","1018.2","","1015.0","","1010.8","","1009.9","","1009.7","","1010.7","","1010.8","","1012.5","","1014.8","","1017.9","","1020.1","","1014.3","","1014.3",""
"ALGERIA","ADRAR","60620","","1961-1990","","Mean Value","hPa","1019.7","","1016.8","","1013.7","","1009.7","","1008.5","","1007.6","","1007.4","","1007.6","","1010.5","","1012.9","","1016.4","","1018.7","","1012.5","","1012.5",""
"ALGERIA","IN SALAH","60630","","1963-1990","","Mean Value","hPa","1020.3","","1017.3","","1014.4","","1010.7","","1009.3","","1008.6","","1008.5","","1008.7","","1011.2","","1013.8","","1017.1","","1019.7","","1013.3","","1013.3",""
"ARGENTINA","VILLA DOLORES AERO","87328","","1961-1990","","Mean Value","hPa","1006.3","","1008.4","","1009.7","","1012.6","","1013.6","","1015.7","","1015.6","","1015.4","","1014.0","","1010.2","","1008.1","","1006.8","","1011.8","","1011.4",""
"ARGENTINA","VILLA DOLORES AERO","87328","","1961-1990","","Number of Years used to Calculate Normal","hPa","20","","20","","19","","20","","20","","20","","20","","20","","19","","19","","18","","19","","18","","-9999.9","1"
"ARGENTINA","CORDOBA AERO","87344","","1961-1990","","Mean Value","hPa","1008.6","","1010.1","","1011.8","","1014.0","","1014.8","","1016.6","","1016.6","","1016.7","","1016.2","","1012.8","","1010.6","","1009.1","","1013.8","","1013.2",""
"ARGENTINA","CORDOBA AERO","87344","","1961-1990","","Number of Years used to Calculate Normal","hPa","20","","20","","20","","20","","20","","19","","20","","20","","20","","20","","20","","20","","18","","-9999.9","1"
"ARGENTINA","PARANA AERO","87374","","1961-1990","","Mean Value","hPa","1009.7","","1011.2","","1012.8","","1015.2","","1015.9","","1017.3","","1017.6","","1017.6","","1017.2","","1014.3","","1012.0","","1010.5","","1014.8","","1014.3",""
"ARGENTINA","PARANA AERO","87374","","1961-1990","","Number of Years used to Calculate Normal","hPa","19","","20","","20","","20","","20","","20","","20","","19","","19","","20","","20","","20","","18","","-9999.9","1"
"ARGENTINA","MONTE CASEROS AERO","87393","","1961-1990","","Mean Value","hPa","1009.2","","1010.7","","1012.3","","1014.5","","1015.7","","1017.5","","1017.5","","1017.0","","1016.5","","1013.7","","1011.5","","1010.0","","1013.8","","1013.8",""
"ARGENTINA","MONTE CASEROS AERO","87393","","1961-1990","","Number of Years used to Calculate Normal","hPa","20","","20","","20","","20","","20","","20","","20","","20","","20","","20","","20","","20","","28","","-9999.9","1"
"ARGENTINA","CONCORDIA AERO","87395","","1963-1990","","Mean Value","hPa","1010.1","","1011.4","","1013.0","","1015.0","","1016.2","","1017.7","","1017.9","","1017.5","","1017.2","","1014.2","","1012.1","","1010.8","","1014.8","","1014.4",""
"ARGENTINA","CONCORDIA AERO","87395","","1963-1990","","Number of Years used to Calculate Normal","hPa","19","","19","","19","","19","","19","","19","","19","","18","","18","","19","","19","","19","","18","","-9999.9","1"
"ARGENTINA","MENDOZA AERO","87418","","1961-1990","","Mean Value","hPa","1007.0","","1008.8","","1010.9","","1013.9","","1015.1","","1017.3","","1017.2","","1017.1","","1015.8","","1012.1","","1009.3","","1007.5","","1012.8","","1012.7",""
"ARGENTINA","MENDOZA AERO","87418","","1961-1990","","Number of Years used to Calculate Normal","hPa","20","","20","","20","","20","","20","","20","","20","","20","","20","","20","","20","","20","","28","","-9999.9","1"
"ARGENTINA","SAN LUIS AERO","87436","","1961-1990","","Mean Value","hPa","1006.8","","1008.5","","1010.3","","1013.1","","1014.0","","1015.8","","1015.9","","1015.8","","1014.6","","1011.0","","1008.6","","1007.3","","1011.8","","1011.8",""
"ARGENTINA","SAN LUIS AERO","87436","","1961-1990","","Number of Years used to Calculate Normal","hPa","19","","20","","20","","20","","20","","20","","20","","20","","20","","20","","20","","20","","18","","-9999.9","1"
"ARGENTINA","VILLA REYNOLDS AERO","87448","","1961-1990","","Mean Value","hPa","1008.3","","1009.8","","1011.7","","1014.1","","1015.0","","1016.9","","1016.9","","1017.1","","1016.2","","1012.8","","1010.4","","1008.8","","1013.8","","1013.2",""
"ARGENTINA","VILLA REYNOLDS AERO","87448","","1961-1990","","Number of Years used to Calculate Normal","hPa","20","","20","","20","","20","","20","","20","","20","","19","","20","","20","","20","","20","","18","","-9999.9","1"
"ARGENTINA","RIO CUARTO AERO","87453","","1961-1990","","Mean Value","hPa","1008.4","","1010.1","","1011.6","","1014.0","","1014.7","","1016.5","","1016.7","","1017.0","","1016.4","","1013.1","","1010.6","","1009.0","","1013.8","","1013.2",""
"ARGENTINA","RIO CUARTO AERO","87453","","1961-1990","","Number of Years used to Calculate Normal","hPa","20","","20","","20","","20","","20","","20","","20","","20","","20","","20","","20","","20","","28","","-9999.9","1"
"ARGENTINA","MARCOS JUAREZ AERO","87467","","1961-1990","","Mean Value","hPa","1008.8","","1010.4","","1012.0","","1014.1","","1015.1","","1016.7","","1016.9","","1017.0","","1016.8","","1013.5","","1011.1","","1009.6","","1013.8","","1013.5",""
"ARGENTINA","MARCOS JUAREZ AERO","87467","","1961-1990","","Number of Years used to Calculate Normal","hPa","20","","20","","20","","19","","19","","19","","20","","20","","20","","20","","20","","20","","18","","-9999.9","1"
"ARGENTINA","ROSARIO AERO","87480","","1961-1990","","Mean Value","hPa","1009.8","","1011.3","","1012.9","","1015.1","","1015.7","","1017.1","","1017.5","","1017.6","","1017.4","","1014.5","","1012.0","","1010.4","","1014.8","","1014.3",""
"ARGENTINA","ROSARIO AERO","87480","","1961-1990","","Number of Years used to Calculate Normal","hPa","20","","20","","20","","20","","20","","20","","20","","20","","20","","20","","20","","20","","28","","-9999.9","1"
"ARGENTINA","GUALEGUAYCHU AERO","87497","","1961-1990","","Mean Value","hPa","1009.6","","1011.2","","1012.8","","1014.8","","1015.6","","1017.1","","1017.4","","1017.4","","1017.2","","1014.4","","1011.9","","1010.5","","1014.8","","1014.2",""
"ARGENTINA","GUALEGUAYCHU AERO","87497","","1961-1990","","Number of Years used to Calculate Normal","hPa","20","","20","","20","","20","","20","","20","","20","","20","","20","","20","","20","","20","","28","","-9999.9","1"
"ARGENTINA","SAN RAFAEL AERO","87509","","1961-1990","","Mean Value","hPa","1007.5","","1008.9","","1011.0","","1013.9","","1014.7","","1016.3","","1016.4","","1016.8","","1015.9","","1012.5","","1009.9","","1008.1","","1012.8","","1012.7",""
"ARGENTINA","SAN RAFAEL AERO","87509","","1961-1990","","Number of Years used to Calculate Normal","hPa","20","","20","","20","","19","","19","","20","","20","","19","","20","","20","","20","","20","","18","","-9999.9","1"
"ARGENTINA","GENERAL PICO AERO","87532","","1961-1990","","Mean Value","hPa","1009.7","","1011.2","","1013.0","","1015.1","","1015.8","","1017.3","","1017.5","","1017.9","","1017.6","","1014.7","","1012.2","","1010.3","","1014.8","","1014.4",""
"ARGENTINA","GENERAL PICO AERO","87532","","1961-1990","","Number of Years used to Calculate Normal","hPa","20","","20","","20","","20","","20","","20","","20","","20","","20","","20","","20","","20","","28","","-9999.9","1"
"ARGENTINA","LABOULAYE AERO","87534","","1961-1990","","Mean Value","hPa","1009.5","","1011.2","","1012.8","","1015.0","","1015.7","","1017.4","","1017.7","","1017.9","","1017.6","","1014.3","","1011.8","","1010.1","","1014.8","","1014.2",""
"ARGENTINA","LABOULAYE AERO","87534","","1961-1990","","Number of Years used to Calculate Normal","hPa","20","","20","","20","","20","","20","","20","","20","","20","","20","","20","","20","","20","","28","","-9999.9","1"
"ARGENTINA","PEHUAJO AERO","87544","","1961-1990","","Mean Value","hPa","1010.2","","1012.0","","1013.7","","1015.4","","1016.1","","1017.4","","1017.8","","1018.2","","1018.1","","1015.1","","1012.5","","1010.8","","1014.8","","1014.8",""
"ARGENTINA","PEHUAJO AERO","87544","","1961-1990","","Number of Years used to Calculate Normal","hPa","19","","19","","19","","19","","19","","20","","20","","20","","20","","20","","20","","18","","18","","-9999.9","1"
"ARGENTINA","JUNIN AERO","87548","","1961-1990","","Mean Value","hPa","1010.1","","1011.7","","1013.3","","1015.3","","1016.0","","1017.4","","1017.8","","1018.0","","1017.9","","1014.9","","1012.3","","1010.7","","1014.8","","1014.6",""
"ARGENTINA","JUNIN AERO","87548","","1961-1990","","Number of Years used to Calculate Normal","hPa","20","","20","","20","","20","","20","","20","","20","","20","","20","","20","","20","","20","","28","","-9999.9","1"
"ARGENTINA","NUEVE DE JULIO","87550","","1961-1990","","Mean Value","hPa","1010.4","","1012.0","","1013.6","","1015.6","","1016.4","","1017.6","","1018.0","","1018.4","","1018.3","","1015.3","","1012.8","","1010.9","","1014.8","","1014.9",""
"ARGENTINA","NUEVE DE JULIO","87550","","1961-1990","","Number of Years used to Calculate Normal","hPa","20","","19","","19","","19","","19","","19","","19","","19","","19","","19","","19","","19","","18","","-9999.9","1"
"ARGENTINA","EZEIZA AERO","87576","","1961-1990","","Mean Value","hPa","1010.5","","1012.1","","1013.7","","1015.5","","1016.1","","1017.6","","1018.1","","1018.3","","1018.5","","1015.4","","1012.8","","1011.3","","1015.8","","1015.0",""
"ARGENTINA","EZEIZA AERO","87576","","1961-1990","","Number of Years used to Calculate Normal","hPa","20","","20","","20","","20","","20","","19","","20","","20","","20","","20","","20","","20","","18","","-9999.9","1"
"ARGENTINA","AEROPARQUE B. AIRES AERO","87582","","1961-1990","","Mean Value","hPa","1010.7","","1012.2","","1013.8","","1015.9","","1016.2","","1017.5","","1018.3","","1018.3","","1018.5","","1015.5","","1012.8","","1011.5","","1015.8","","1015.1",""
"ARGENTINA","AEROPARQUE B. AIRES AERO","87582","","1961-1990","","Number of Years used to Calculate Normal","hPa","20","","20","","20","","20","","19","","20","","20","","20","","20","","20","","20","","20","","18","","-9999.9","1"
"ARGENTINA","BUENOS AIRES","87585","","1961-1990","","Mean Value","hPa","1010.6","","1012.1","","1013.7","","1015.6","","1016.2","","1017.5","","1018.2","","1018.3","","1018.3","","1015.4","","1012.8","","1011.5","","1015.8","","1015.0",""
"ARGENTINA","BUENOS AIRES","87585","","1961-1990","","Number of Years used to Calculate Normal","hPa","20","","20","","20","","20","","20","","20","","20","","20","","20","","20","","20","","20","","28","","-9999.9","1"
"ARGENTINA","LA PLATA AERO","87593","","1961-1990","","Mean Value","hPa","1010.8","","1012.2","","1013.9","","1015.5","","1016.0","","1017.2","","1018.0","","1018.1","","1018.3","","1015.2","","1012.9","","1011.6","","1015.8","","1015.0",""
"ARGENTINA","LA PLATA AERO","87593","","1961-1990","","Number of Years used to Calculate Normal","hPa","19","","20","","19","","20","","20","","20","","20","","20","","20","","19","","20","","20","","18","","-9999.9","1"
"ARGENTINA","PUNTA INDIO BASE AERONAV","87596","","1961-1990","","Mean Value","hPa","1011.1","","1012.8","","1014.2","","1015.8","","1016.3","","1017.6","","1018.3","","1018.8","","1019.0","","1015.7","","1013.7","","1012.1","","1015.8","","1015.4",""
"ARGENTINA","PUNTA INDIO BASE AERONAV","87596","","1961-1990","","Number of Years used to Calculate Normal","hPa","18","","19","","20","","20","","20","","18","","19","","20","","20","","19","","19","","18","","-9999","1","-9999.9","1"
"ARGENTINA","SANTA ROSA AERO","87623","","1961-1990","","Mean Value","hPa","1009.1","","1010.7","","1012.5","","1014.5","","1015.1","","1016.6","","1016.9","","1017.5","","1017.3","","1014.2","","1011.5","","1009.7","","1013.8","","1013.8",""
"ARGENTINA","SANTA ROSA AERO","87623","","1961-1990","","Number of Years used to Calculate Normal","hPa","20","","20","","20","","20","","20","","20","","20","","20","","20","","20","","20","","20","","28","","-9999.9","1"
"ARGENTINA","AZUL AERO","87642","","1961-1990","","Mean Value","hPa","1010.4","","1012.1","","1013.9","","1015.3","","1016.0","","1017.2","","1017.7","","1018.4","","1018.4","","1015.4","","1012.9","","1011.3","","1014.8","","1014.9",""
"ARGENTINA","AZUL AERO","87642","","1961-1990","","Number of Years used to Calculate Normal","hPa","19","","19","","19","","19","","17","","18","","18","","18","","19","","19","","19","","19","","18","","-9999.9","1"
"ARGENTINA","DOLORES AERO","87648","","1961-1990","","Mean Value","hPa","1011.2","","1012.5","","1014.1","","1015.6","","1015.9","","1017.0","","1018.0","","1017.8","","1018.4","","1015.5","","1012.9","","1011.4","","1015.8","","1015.0",""
"ARGENTINA","DOLORES AERO","87648","","1961-1990","","Number of Years used to Calculate Normal","hPa","16","","15","","18","","18","","17","","19","","19","","18","","17","","18","","17","","17","","-9999","1","-9999.9","1"
"ARGENTINA","PIGE AERO","87679","","1961-1990","","Mean Value","hPa","1009.9","","1011.6","","1013.5","","1015.4","","1015.5","","1017.4","","1017.4","","1018.2","","1018.0","","1015.1","","1012.2","","1010.5","","1014.8","","1014.6",""
"ARGENTINA","PIGE AERO","87679","","1961-1990","","Number of Years used to Calculate Normal","hPa","20","","17","","19","","17","","19","","19","","19","","18","","19","","20","","20","","19","","-9999","1","-9999.9","1"
"ARGENTINA","MAR DEL PLATA AERO","87692","","1961-1990","","Mean Value","hPa","1011.0","","1012.4","","1013.8","","1014.9","","1014.9","","1016.0","","1017.2","","1018.1","","1018.4","","1015.5","","1012.9","","1011.6","","1014.8","","1014.7",""
"ARGENTINA","MAR DEL PLATA AERO","87692","","1961-1990","","Number of Years used to Calculate Normal","hPa","20","","20","","20","","20","","20","","20","","20","","20","","20","","20","","20","","20","","28","","-9999.9","1"
"ARGENTINA","NEUQUEN AERO","87715","","1961-1990","","Mean Value","hPa","1009.3","","1010.3","","1012.5","","1014.7","","1014.8","","1016.5","","1016.6","","1017.4","","1017.1","","1014.3","","1011.6","","1010.2","","1013.8","","1013.8",""
"ARGENTINA","NEUQUEN AERO","87715","","1961-1990","","Number of Years used to Calculate Normal","hPa","20","","20","","20","","20","","20","","20","","20","","20","","20","","20","","20","","20","","28","","-9999.9","1"
"ARGENTINA","BAHIA BLANCA AERO","87750","","1961-1990","","Mean Value","hPa","1009.4","","1011.2","","1012.9","","1014.5","","1014.9","","1015.7","","1016.6","","1017.1","","1017.5","","1014.6","","1011.7","","1010.1","","1013.8","","1013.9",""
"ARGENTINA","BAHIA BLANCA AERO","87750","","1961-1990","","Number of Years used to Calculate Normal","hPa","19","","19","","19","","19","","19","","19","","19","","19","","19","","19","","19","","18","","18","","-9999.9","1"
"ARGENTINA","SAN ANTONIO OESTE AERO I","87784","","1961-1987","","Mean Value","hPa","1008.1","","1009.4","","1011.7","","1013.1","","1012.6","","1013.4","","1013.4","","1014.9","","1015.4","","1013.2","","1010.2","","1009.1","","1012.8","","1012.0",""
"ARGENTINA","SAN ANTONIO OESTE AERO I","87784","","1961-1987","","Number of Years used to Calculate Normal","hPa","15","","15","","15","","15","","15","","15","","15","","15","","15","","16","","15","","15","","18","","-9999.9","1"
"ARGENTINA","ESQUEL AERO","87803","","1961-1990","","Mean Value","hPa","1008.3","","1009.7","","1011.1","","1012.2","","1010.8","","1012.9","","1012.3","","1013.6","","1013.8","","1012.4","","1010.5","","1009.1","","1011.8","","1011.4",""
"ARGENTINA","ESQUEL AERO","87803","","1961-1990","","Number of Years used to Calculate Normal","hPa","18","","18","","19","","20","","19","","18","","18","","19","","18","","17","","18","","18","","-9999","1","-9999.9","1"
"ARGENTINA","TRELEW AERO","87828","","1961-1990","","Mean Value","hPa","1008.3","","1009.3","","1011.3","","1011.9","","1011.2","","1012.2","","1012.9","","1013.9","","1014.7","","1012.4","","1009.8","","1008.7","","1011.8","","1011.4",""
"ARGENTINA","TRELEW AERO","87828","","1961-1990","","Number of Years used to Calculate Normal","hPa","20","","20","","20","","20","","19","","20","","20","","20","","20","","20","","20","","20","","18","","-9999.9","1"
"ARGENTINA","COMODORO RIVADAVIA AERO","87860","","1961-1990","","Mean Value","hPa","1005.7","","1007.3","","1008.9","","1009.7","","1008.7","","1009.1","","1009.8","","1010.6","","1011.7","","1009.7","","1007.2","","1006.4","","1008.8","","1008.7",""
"ARGENTINA","COMODORO RIVADAVIA AERO","87860","","1961-1990","","Number of Years used to Calculate Normal","hPa","20","","19","","20","","20","","20","","20","","20","","20","","20","","20","","20","","20","","18","","-9999.9","1"
"ARGENTINA","PUERTO DESEADO AERO","87896","","1961-1990","","Mean Value","hPa","1004.6","","-9999.9","1","1007.6","","1007.9","","1008.1","","1008.1","","1008.9","","1009.5","","1010.6","","1009.1","","1005.8","","1005.6","","-9999.9","1","-9999.9","1"
"ARGENTINA","PUERTO DESEADO AERO","87896","","1961-1990","","Number of Years used to Calculate Normal","hPa","19","","-9999","1","18","","20","","19","","19","","19","","18","","19","","19","","20","","19","","-9999","1","-9999.9","1"
"ARGENTINA","LAGO ARGENTINO AERO","87903","","1961-1990","","Mean Value","hPa","1002.6","","1004.3","","1005.7","","1005.5","","1005.9","","1006.1","","1007.0","","1006.8","","1007.7","","1006.4","","1003.6","","1003.2","","1005.8","","1005.4",""
"ARGENTINA","LAGO ARGENTINO AERO","87903","","1961-1990","","Number of Years used to Calculate Normal","hPa","19","","20","","20","","20","","20","","20","","20","","20","","20","","20","","20","","19","","18","","-9999.9","1"
"ARGENTINA","RIO GALLEGOS AERO","87925","","1961-1990","","Mean Value","hPa","1000.9","","1002.6","","1003.8","","1003.4","","1004.1","","1003.8","","1004.9","","1004.5","","1006.0","","1004.6","","1001.8","","1001.7","","1003.8","","1003.5",""
"ARGENTINA","RIO GALLEGOS AERO","87925","","1961-1990","","Number of Years used to Calculate Normal","hPa","19","","20","","20","","20","","20","","20","","20","","19","","20","","19","","20","","20","","18","","-9999.9","1"
"ARGENTINA","USHUAIA AERO I","87938","","1961-1988","","Mean Value","hPa","996.7","","997.6","","999.6","","998.5","","1000.6","","1000.5","","1000.7","","999.2","","1001.2","","1000.6","","997.7","","999.1","","999.8","","999.3",""
"ARGENTINA","USHUAIA AERO I","87938","","1961-1988","","Number of Years used to Calculate Normal","hPa","15","","16","","17","","15","","15","","17","","15","","16","","17","","17","","16","","13","","-9999","1","-9999.9","1"
"ARGENTINA","ORAN AERO","87016","","1961-1990","","Mean Value","hPa","1006.3","","1007.8","","1008.9","","1011.6","","1013.0","","1014.9","","1014.6","","1013.8","","1012.5","","1008.8","","1007.1","","1006.3","","1010.8","","1010.5",""
"ARGENTINA","ORAN AERO","87016","","1961-1990","","Number of Years used to Calculate Normal","hPa","19","","18","","18","","18","","20","","19","","20","","20","","19","","20","","19","","20","","-9999","1","-9999.9","1"
"ARGENTINA","LAS LOMITAS","87078","","1961-1990","","Mean Value","hPa","1006.8","","1008.2","","1009.3","","1012.0","","1013.5","","1014.9","","1014.9","","1014.2","","1013.2","","1010.0","","1008.2","","1007.2","","1011.8","","1011.0",""
"ARGENTINA","LAS LOMITAS","87078","","1961-1990","","Number of Years used to Calculate Normal","hPa","20","","20","","20","","20","","20","","20","","20","","20","","20","","20","","20","","20","","28","","-9999.9","1"
"ARGENTINA","SANTIAGO DEL ESTERO AERO","87129","","1961-1990","","Mean Value","hPa","1006.5","","1008.2","","1009.8","","1012.5","","1013.5","","1015.5","","1015.7","","1015.0","","1014.2","","1010.3","","1008.3","","1007.0","","1011.8","","1011.4",""
"ARGENTINA","SANTIAGO DEL ESTERO AERO","87129","","1961-1990","","Number of Years used to Calculate Normal","hPa","20","","20","","20","","20","","20","","20","","20","","20","","20","","20","","20","","20","","28","","-9999.9","1"
"ARGENTINA","PRESIDENCIA R S PE%A AERO","87149","","1961-1990","","Mean Value","hPa","1007.8","","1009.2","","1010.5","","1013.0","","1014.4","","1015.9","","1015.9","","1015.3","","1014.5","","1011.4","","1009.4","","1008.4","","1012.8","","1012.1",""
"ARGENTINA","PRESIDENCIA R S PE%A AERO","87149","","1961-1990","","Number of Years used to Calculate Normal","hPa","20","","20","","20","","20","","20","","20","","20","","20","","20","","20","","20","","19","","18","","-9999.9","1"
"ARGENTINA","FORMOSA AERO","87162","","1963-1990","","Mean Value","hPa","1007.5","","1008.8","","1010.0","","1012.6","","1014.3","","1015.5","","1015.7","","1014.9","","1014.0","","1011.0","","1009.1","","1007.9","","1011.8","","1011.8",""
"ARGENTINA","FORMOSA AERO","87162","","1963-1990","","Number of Years used to Calculate Normal","hPa","20","","20","","20","","19","","19","","19","","20","","20","","20","","20","","20","","20","","18","","-9999.9","1"
"ARGENTINA","CORRIENTES AERO","87166","","1961-1990","","Mean Value","hPa","1008.2","","1009.5","","1010.8","","1013.3","","1014.6","","1016.1","","1016.2","","1015.7","","1014.9","","1012.0","","1010.0","","1008.8","","1012.8","","1012.5",""
"ARGENTINA","CORRIENTES AERO","87166","","1961-1990","","Number of Years used to Calculate Normal","hPa","20","","20","","20","","20","","20","","20","","20","","20","","20","","20","","20","","20","","28","","-9999.9","1"
"ARGENTINA","POSADAS AERO","87178","","1961-1990","","Mean Value","hPa","1008.9","","1010.1","","1011.2","","1013.7","","1015.4","","1016.9","","1017.0","","1016.1","","1015.1","","1012.5","","1010.3","","1009.1","","1013.8","","1013.0",""
"ARGENTINA","POSADAS AERO","87178","","1961-1990","","Number of Years used to Calculate Normal","hPa","20","","20","","20","","20","","20","","20","","20","","20","","20","","19","","20","","20","","18","","-9999.9","1"
"ARGENTINA","LA RIOJA AERO","87217","","1961-1990","","Mean Value","hPa","1005.4","","1006.8","","1008.5","","1011.3","","1012.5","","1014.9","","1014.9","","1014.3","","1012.8","","1008.7","","1006.5","","1005.5","","1010.8","","1010.2",""
